	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Lmcd1	1.6951473951339722	53.19366346607693	1.6670878080874187e-11	4.352663655833273e-10	0.00029010847270733527	1.0	2.346815098799098e-06
Chst10	1.6638695001602173	53.129024483223176	1.720838191933387e-11	1.0676682542884755e-07	1.0676682542884755e-07	1.0	3.6590647219846297e-06
4931406C07Rik	-1.6818877458572388	52.256158966778436	2.6412684126110135e-11	2.5830541564212002e-08	7.805498004893545e-07	1.0	4.676933337865166e-06
Irak2	1.7103614807128906	52.020319174931174	2.9653634756398496e-11	5.309886003720162e-08	5.309886003720162e-08	1.0	3.5167260885418144e-05
Scin	1.728588581085205	51.7650810983116	3.3610353810061e-11	1.7595672072611402e-11	0.00015289470406429546	1.0	0.0033808485709149716
Dopey2	1.6780829429626465	51.379871105379614	4.060298329431157e-11	1.0317007540981055e-07	2.488652696474177e-07	1.0	7.643907642991628e-06
G2e3	1.5661121606826782	51.16121185710278	4.5200920124428997e-11	2.0946406342980927e-09	0.002685371468453703	1.0	6.91381108062063e-07
Nod1	-1.7238500118255615	51.10821222491416	4.6391590087177335e-11	1.0544128580075116e-10	0.0001817942878229986	1.0	0.00016701938454095796
Mrm1	1.6232424974441528	49.980620042457936	8.065466069402535e-11	4.2611856407526155e-11	0.00383925851789053	1.0	0.0004660885939510568
Alox5	1.6970067024230957	49.964840154710906	8.128118962591533e-11	9.34943042805081e-10	0.0002829159270240553	1.0	1.4795679241611592e-05
Capn2	-1.5119965076446533	49.59745431410122	9.732515891569293e-11	8.156484054871511e-10	0.0054204581911572345	1.0	6.411317977778573e-06
Ifi204	-1.602047085762024	49.55112803989691	9.956106963405429e-11	3.900446531112604e-09	0.0002581171326542268	1.0	3.695184608712254e-06
Etnk1	1.710377812385559	49.52442845965132	1.0087294925448672e-10	6.146925649157154e-10	1.007599481112478e-05	1.0	0.0008553195970867409
Ap1m1	1.5542532205581665	49.42601249683955	1.0585954182166528e-10	6.189838727116723e-08	1.257410236329934e-06	1.0	1.3520943267974979e-05
Pgrmc1	1.6675626039505005	49.3121237526026	1.1193833935601181e-10	2.447286094054829e-06	1.8390174214112545e-08	1.0	5.81792629271837e-05
Cmpk2	1.648149847984314	49.310311329877464	1.1203784497482949e-10	4.1033071395391733e-11	0.0013247704942493332	1.0	0.0013247704942493332
Arvcf	1.7199256420135498	49.21884281860241	1.171761320427102e-10	2.171713651762069e-09	0.0002807868461446087	1.0	9.573620733805302e-06
Clpx	1.7294656038284302	49.150345581936314	1.2117759765589469e-10	1.0590402913694129e-08	2.5332769472958808e-06	1.0	7.150149894190829e-05
Tab3	1.572061538696289	49.14844058016855	1.2129081408221715e-10	3.5160419758764834e-11	0.007837524205277134	1.0	0.0014338833328692037
Fgfrl1	1.703500509262085	48.83546352264879	1.4140222329756263e-10	3.5918189049907514e-09	0.0006677906981209591	1.0	4.315943819650177e-06
Hpcal1	-1.6830567121505737	48.606228524804145	1.5821652945243313e-10	2.700864560853773e-10	2.536838405328686e-05	1.0	0.005911619668006488
Hace1	1.6547958850860596	47.78261850001642	2.368812566849109e-10	1.4795600552511874e-09	0.009940979871771028	1.0	1.1701501848199324e-05
Rnf145	1.6954162120819092	47.23627475092534	3.0957765676689256e-10	2.303239057656332e-09	0.00029650472905473965	1.0	5.050677058565808e-05
Itgav	-1.5808278322219849	46.94138713561533	3.5768288455901717e-10	1.6790325084558818e-09	0.00011937940952106758	1.0	0.00020289749629464468
Il10ra	-1.5366090536117554	46.08747755599392	5.433717493580303e-10	2.0999898674041308e-05	1.454817532790999e-06	1.0	1.3965496397328348e-06
Nfkbie	-1.625651478767395	44.92760017029052	9.58638706255732e-10	2.7792310777360118e-08	2.7659330221512655e-05	1.0	0.00010194423625695914
Snupn	1.577056884765625	44.24359596141686	1.3396564439134127e-09	8.883704137599505e-08	0.00287518070702226	1.0	2.096392802566666e-06
P4ha1	-1.5677484273910522	44.175579569862016	1.3849787344249783e-09	6.330833806196331e-08	1.1363906390471388e-05	1.0	0.0001771530503704027
Tapbpl	-1.6046911478042603	43.790321195340674	1.672168126434848e-09	1.2628829146836639e-06	7.881909456160648e-08	1.0	0.005061255393844143
Nckap1l	-1.5867481231689453	43.49588215837774	1.93114327783282e-09	1.3228673722468778e-06	0.000131207967591779	1.0	1.480306566173213e-06
Zfp934	1.6108427047729492	43.24450740721478	2.183713276735706e-09	3.1690324930738155e-09	0.002045632865562262	1.0	0.00043910045021434274
Naga	-1.724346399307251	42.643439798235256	2.9296043300807456e-09	1.532244675188148e-09	0.000791718066235817	1.0	0.008051894615838823
Uba3	1.6658161878585815	42.64200048368447	2.931666095330422e-09	2.8486670462982594e-09	0.00048504046042147217	1.0	0.003129008897791567
Ipo4	1.6345585584640503	42.01406612552493	3.9846454969676925e-09	1.5850018744986096e-09	0.005319654224239156	1.0	0.003622791718699368
Tmem177	1.7026065587997437	41.940613908201236	4.130252444398363e-09	1.5969836126248495e-08	0.002256433299580454	1.0	0.000126960684947271
Lmbrd1	1.6029424667358398	40.99552624470176	6.553505148151998e-09	3.621560410242761e-05	6.984089564289561e-08	1.0	0.0023308067218685592
Alg11	1.637094497680664	40.96126531776754	6.664077390305617e-09	4.6936848939657627e-07	0.00010853689195282481	1.0	3.5332392876655416e-05
Tmem186	1.6966265439987183	40.883259116179275	6.9228324468833734e-09	9.647787974177185e-09	0.00036375147917530105	1.0	0.003407599472212303
Mfsd6	-1.7026554346084595	40.038221979363875	1.0458154976773698e-08	1.192569542534781e-08	0.0008481149807330661	1.0	0.002656373759323384
Cd99l2	1.6905308961868286	39.00377616342814	1.7324710696913836e-08	3.1226525708936e-06	5.208989035601056e-05	1.0	4.461960681626385e-05
Crbn	1.7071269750595093	39.00240330876231	1.733631638299523e-08	2.3839162307886905e-07	0.0007183639325066322	1.0	9.849408035675208e-05
