	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Nkg7	1.567780613899231	217.2361025520626	7.946416348802094e-47	3.274027770991577e-50	1.0	8.67815317625718e-22	7.675167143551621e-13
Tie1	1.679643154144287	216.78137264587224	9.964689644219838e-47	1.0	1.9201715955809128e-12	1.8877615538942743e-50	2.8797676566487065e-11
Ubac1	1.5027624368667603	216.50771497359813	1.1418682318189336e-46	6.102258497160473e-47	2.507489838639892e-07	1.0	7.165626099684623e-20
Tmem56	1.7140402793884277	216.0887335568213	1.4066299476719828e-46	6.169137419100577e-44	2.2062627838232547e-11	1.0	7.597649778221613e-24
Rfesd	1.7231389284133911	215.35293891283644	2.02871831000669e-46	1.2860259300435213e-43	2.8788203125516744e-20	1.0	1.0768955811850703e-18
Cish	1.6924819946289062	215.30442510911132	2.0782984427878483e-46	1.0	1.5583042733648215e-23	9.3210071919911e-45	7.832759875908627e-12
Ablim1	-1.6228865385055542	215.05766354712168	2.3498750550513762e-46	1.2117079074826563e-44	1.1158384914361982e-14	1.0	6.09930249158353e-21
B3galnt2	1.6392030715942383	214.41829433924391	3.2302893577121203e-46	7.442423885948346e-42	4.1194779813909825e-16	1.0	8.18492223294241e-24
P2ry14	1.540984034538269	214.37787817913434	3.2959235267817303e-46	2.1813292211447164e-09	2.1151016355674262e-21	7.63139595035997e-35	1.0
Sdc4	1.5267088413238525	214.1716821429563	3.652119590156069e-46	5.1930827127198634e-05	3.1075147740108124e-20	8.37281843239325e-28	1.0
Coro7	-1.5378600358963013	213.55238357237485	4.970510019606492e-46	7.638537267704316e-32	1.288076739568704e-17	1.0	2.13908273862924e-33
Lrrc8c	1.5716882944107056	213.28680342790506	5.672875177540482e-46	5.1559636463619124e-49	5.247486423154786e-17	1.0	2.737292467431526e-07
Tmem64	1.7218501567840576	213.22592022559613	5.8473949251138515e-46	1.239067413479119e-42	2.6841513955685297e-19	1.0	6.254932498526784e-20
Hspa5	1.6038916110992432	212.26426830694257	9.436480247126534e-46	2.176114148156126e-47	1.0	1.813226668219714e-19	2.2095694967874737e-20
Reep6	1.7200449705123901	211.13020341878084	1.6592685078211012e-45	1.681320095388123e-44	1.6926607848876653e-17	1.0	2.795469716373171e-17
H2-Ob	1.696876049041748	210.9373574703821	1.8264006708980524e-45	3.799701223275091e-29	3.8518734307975767e-38	4.776668856703918e-46	1.0
Csf2rb	1.6781388521194458	210.61600700437225	2.1431297229328004e-45	1.8797455384897337e-32	1.0	1.7576730778551438e-50	1.9485366725159963e-14
Eya2	1.5182747840881348	209.40500746645634	3.915374154703164e-45	1.0	6.929063071756718e-30	1.6380856256175058e-39	2.8973973778332903e-07
Phactr2	-1.6095612049102783	209.03475134138966	4.7075257293053456e-45	4.816736584303497e-46	2.0830111673007023e-09	1.0	1.224072987543602e-17
Hba-a1	1.72294282913208	208.9862193058987	4.822601248855482e-45	3.877527618616303e-42	2.11323769369677e-15	1.0	2.379814936671798e-21
Atp1a3	1.67411208152771	208.4376845385255	6.336199643840011e-45	6.783470533339449e-46	1.0	2.3436053381636006e-42	7.125699664075195e-13
Nceh1	1.6265925168991089	207.27991373126255	1.1272949255702276e-44	1.0	2.1482214156974195e-15	9.089895991045619e-48	2.316801770515093e-07
Prkab1	1.6818474531173706	206.87209661852256	1.3809257662477128e-44	5.568821045035545e-41	6.077383750811741e-19	1.0	1.639494820960001e-19
Alcam	-1.653262734413147	204.78251654871474	3.906011120482715e-44	2.7202541402839036e-45	4.938793316852688e-12	1.0	7.165719346776414e-16
Ikzf1	-1.5917798280715942	204.7599631056737	3.950091966480998e-44	1.0	0.00038904726845570705	1.0404053807143597e-43	5.3117877318923496e-18
Sh2d4a	1.730900764465332	204.54167043995542	4.403312073764688e-44	1.556224720372964e-41	4.611381129103556e-17	1.0	5.527508302902662e-19
Atp8a1	1.719404935836792	204.22191393258998	5.16270438167131e-44	4.504308252814207e-37	2.5542063728499722e-26	1.0	2.0704901067444293e-16
Mcpt8	1.7278969287872314	204.16561745982517	5.309365113034618e-44	4.667324239509083e-47	1.0	3.581227022340343e-37	4.567943236302558e-24
Arl11	1.6737277507781982	203.65085659441206	6.859281243478474e-44	1.0700979733870317e-40	1.0	3.1373338434091013e-46	5.366454599009344e-19
Psen2	1.5879755020141602	203.3746777749429	7.869701346200152e-44	9.836540288762608e-42	5.130853906915258e-12	1.0	4.695547107674366e-21
Orc5	1.6885467767715454	202.42563329405763	1.2619287156399187e-43	4.472588032025447e-37	3.265722649493316e-18	1.0	2.878016074786966e-23
Hspa8	1.6387829780578613	202.04942120029312	1.5216971595312124e-43	1.712854189097504e-45	1.31272876528851e-09	1.0	7.723284227301074e-15
Fpgs	1.5289500951766968	201.95250601437942	1.596871351928542e-43	9.042313925620923e-40	4.942974308741178e-10	1.0	8.353525347793586e-24
Smim13	1.647788405418396	201.74260029872912	1.772665389561776e-43	1.5732870285748376e-43	2.338908044399246e-12	1.0	2.8716389882078266e-17
Picalm	1.6819226741790771	201.6174686121078	1.8865371170355274e-43	7.18264267146631e-44	7.26148971917771e-14	1.0	9.767105543338617e-16
Ap1b1	1.6974998712539673	201.53795851992086	1.9626639138969934e-43	6.250412093850899e-44	5.95886896261282e-17	1.0	4.852147048293013e-13
Ddias	1.6854783296585083	201.17862219074408	2.346881221516356e-43	4.142355545777309e-43	5.990969223751954e-13	1.0	2.1476266949576272e-17
Cers5	-1.5023976564407349	197.3967103268007	1.5404323385381108e-42	4.9941750178506426e-42	1.1515454151638728e-21	1.0	4.6075919938164276e-05
H2-Q7	-1.5959101915359497	197.12043129927645	1.767399625058282e-42	5.02761928392868e-41	1.0	1.6418451983565748e-16	1.2546215554162424e-24
Afap1l1	-1.5567359924316406	196.9243416242842	1.94850324015964e-42	1.4597033072095756e-45	1.221192783788346e-07	1.0	7.712907953304218e-12
Cul4a	1.5134302377700806	196.57148346746828	2.322403962130701e-42	4.5225541039164865e-40	1.0198314256058655e-10	1.0	7.015948783781654e-21
Appl2	-1.6803309917449951	196.2439348924204	2.73341472506387e-42	1.2599970215722278e-43	1.971337963464636e-14	1.0	1.4455114080704852e-12
Tspan8	1.6973092555999756	195.76996340616225	3.4602487146355005e-42	1.5371112833844625e-26	4.090565475592514e-36	1.0	1.0111398352940164e-11
Plxnc1	1.5342435836791992	195.4552753843005	4.046645293993285e-42	6.94952780804535e-19	2.637104594975775e-33	1.0	3.145909228001432e-22
